sum,OBJECTID,admin0Name,Shape_Leng,admin1Pcod,admin2Pcod,admin0Pcod,admin2Name,admin1Name,Shape_Area,Shape_Le_1,system:index
45931.210571073745,2210,Mauritania,0.0,MR10,MR1003,MR,El Mina,Nouakchott,0.012914548416,0.629560503053,00000000000000000117
45824.027450897665,2211,Mauritania,0.0,MR10,MR1002,MR,Dar Naim,Nouakchott,0.0033741533455,0.31352051165,00000000000000000118
156722.89086212876,2212,Mauritania,0.0,MR10,MR1001,MR,Arafat,Nouakchott,0.00127468095667,0.144742665576,00000000000000000119
98860.0374343416,2213,Mauritania,0.0,MR10,MR1005,MR,Riad,Nouakchott,0.0156999441867,0.515824830018,0000000000000000011a
39568.35345736462,1788,Mauritania,4.83124905217,MR11,MR1101,MR,Moudjeria,Tagant,1.01814249517,4.82443189603,000000000000000000b3
30959.935800225656,1794,Mauritania,7.39431392689,MR11,MR1103,MR,Tidjikja,Tagant,1.64216657148,7.38749677075,000000000000000000b9
3952.343485293289,1795,Mauritania,9.98838615124,MR11,MR1102,MR,Tichitt,Tagant,5.82757952487,9.99226595802,000000000000000000ba
42919.79759030424,1804,Mauritania,1.09686255896,MR12,MR1203,MR,Zoueratt,Tiris-Zemmour,0.0614388525222,0.995908652324,000000000000000000c3
7993.734570072562,1809,Mauritania,18.8898667248,MR12,MR1202,MR,F'Derik,Tiris-Zemmour,15.0136649451,18.7671174994,000000000000000000c8
4204.215408950285,1811,Mauritania,17.2998978565,MR12,MR1201,MR,Bir Mogrein,Tiris-Zemmour,7.86452769474,17.3154184665,000000000000000000ca
52732.54433342488,1764,Mauritania,1.59876235073,MR13,MR1306,MR,Rosso,Trarza,0.115340066688,1.59876235073,0000000000000000009b
22375.427581810134,1772,Mauritania,2.80029157666,MR13,MR1302,MR,Keur-Macene,Trarza,0.213101492374,2.80029157666,000000000000000000a3
64536.839500729606,1776,Mauritania,2.86305928061,MR13,MR1305,MR,R'kiz,Trarza,0.427000071661,2.86305928061,000000000000000000a7
27316.632174163555,1779,Mauritania,3.66732089911,MR13,MR1303,MR,Mederdra,Trarza,0.550479493005,3.66732089911,000000000000000000aa
12783.997751304332,1789,Mauritania,7.21048620724,MR13,MR1304,MR,Ouad Naga,Trarza,1.52789457168,6.68878069613,000000000000000000b4
60397.14245569204,1790,Mauritania,7.60566541101,MR13,MR1301,MR,Boutilimit,Trarza,2.77477050244,7.60566541101,000000000000000000b5
51118.07889763889,2005,Niger,11.1944877662,NE01,NE0101,NE,Aderbissinat,Agadez,4.34900422568,11.1944877662,000000000000000000d1
114469.16571355895,2007,Niger,10.5540813383,NE01,NE0102,NE,Arlit,Agadez,5.25588955193,10.5540813383,000000000000000000d3
16248.595457077026,2015,Niger,20.6586517745,NE01,NE0103,NE,Bilma,Agadez,24.0381489218,20.6537089493,000000000000000000db
45317.02419380674,2035,Niger,14.6476819752,NE01,NE0104,NE,Iferouane,Agadez,12.0598877755,14.6476819752,000000000000000000ef
65358.74484758751,2037,Niger,14.4505167856,NE01,NE0105,NE,Ingall,Agadez,5.21162976183,14.4505190966,000000000000000000f1
287224.62738452235,2060,Niger,9.36355534385,NE01,NE0106,NE,Tchirozerine,Agadez,2.6328684095,9.36355534385,00000000000000000108
109916.54670613792,2018,Niger,2.27436903592,NE02,NE0201,NE,Bosso,Diffa,0.148930444737,2.27436903734,000000000000000000de
181411.8255362754,2022,Niger,3.59268460112,NE02,NE0202,NE,Diffa,Diffa,0.447859995206,3.59268460125,000000000000000000e2
113460.80657435585,2032,Niger,3.8016826608,NE02,NE0203,NE,Goudoumaria,Diffa,0.659018857628,3.8016826608,000000000000000000ec
167214.55572572033,2045,Niger,4.80786742484,NE02,NE0204,NE,Maïné Soroa,Diffa,0.629622016569,4.80786742112,000000000000000000f9
88024.81721270505,2050,Niger,13.2504790776,NE02,NE0205,NE,N'Gourti,Diffa,9.60181293596,13.2504790774,000000000000000000fe
